Bins,Red,Blue,Green
0.5,0,1,1
1.5,1,23,26
2.5,25,21,17
3.5,11,1527,941
4.5,46,7024,7570
5.5,122,4172,3300
6.5,1078,9842,8559
7.5,1272,25761,24111
8.5,925,69571,70915
9.5,1608,15593,21094
10.5,3445,11343,10072
11.5,4877,11740,10323
12.5,4269,10158,8723
13.5,3332,8217,6956
14.5,2533,6857,5236
15.5,2361,5809,4718
16.5,2721,5355,4639
17.5,2679,4585,4154
18.5,3224,4654,4377
19.5,4076,4433,4843
20.5,7474,4264,4803
21.5,6645,4283,4951
22.5,7246,4167,4865
23.5,6663,4363,4731
24.5,5978,4153,4712
25.5,7163,4119,4444
26.5,6305,3824,4323
27.5,5859,3485,3869
28.5,7044,3255,3541
29.5,8181,3174,3304
30.5,9357,2981,2910
31.5,8843,2931,2861
32.5,10874,3021,3043
33.5,12155,2643,2811
34.5,16136,2686,2708
35.5,25776,2746,2760
36.5,26685,2983,2655
37.5,15684,2817,2529
38.5,6793,2766,2462
39.5,5130,2774,2576
40.5,3965,2681,2602
41.5,3731,2565,2568
42.5,3796,2433,2431
43.5,3426,2586,2334
44.5,3446,2857,2199
45.5,3420,3028,2265
46.5,3394,2630,2375
47.5,3395,2498,2496
48.5,3497,2781,2404
49.5,3257,2654,2281
50.5,3437,2701,2315
51.5,3671,2715,2421
52.5,3437,2883,2686
53.5,3439,3233,2951
54.5,3724,3729,2902
55.5,4824,3769,3039
56.5,6315,3504,3243
57.5,6427,3935,3117
58.5,6113,4241,3449
59.5,7264,4574,3701
60.5,8705,4966,3710
61.5,9423,4946,3891
62.5,9569,5521,3763
63.5,9342,4911,3934
64.5,8617,4785,5124
65.5,6130,5051,6778
66.5,5044,5784,7148
67.5,4198,6029,6530
68.5,3229,5861,7163
69.5,2831,6352,8911
70.5,2409,7458,10229
71.5,2380,9045,10207
72.5,2371,9274,9467
73.5,2226,8357,8762
74.5,2020,7594,7633
75.5,2284,6460,6177
76.5,2703,4740,4833
77.5,2777,3078,3502
78.5,2576,2111,2779
79.5,2349,1596,2694
80.5,2401,1353,2469
81.5,2292,1017,2135
82.5,2434,914,1970
83.5,3638,891,1666
84.5,4430,902,1421
85.5,5535,868,1234
86.5,5030,793,1095
87.5,3992,766,955
88.5,3622,761,926
89.5,3326,757,834
90.5,4099,742,773
91.5,3234,725,759
92.5,3959,699,688
93.5,4320,613,688
94.5,4361,693,835
95.5,5214,585,889
96.5,5313,627,1612
97.5,5467,635,2231
98.5,4478,1098,1973
99.5,4813,1847,1507
100.5,4834,1819,1584
101.5,6308,1600,1938
102.5,7328,1254,2115
103.5,8568,1500,2187
104.5,9014,1866,2864
105.5,7571,1681,2912
106.5,8224,2018,3299
107.5,9386,2546,3719
